ApplicantID,Assigned_Agent,Branch_Name,Policy_Type,Line_Of_Business,Master_Company,Policy_Number,Term,Effective_Date,Agency,Billing_Type,Cancellation_Date,Department,Download_Date,Expiration_Date,LOB_Code,LOB_Origination_Date,Policy_Creation_Date,Policy_Last_Modified_Date,Premium_Changed,Premium_Taxes,Service_Team_Override,Status,Transaction_Type,Transaction_Type_Code,Writing_Company_Name
74971028,"Allen, Johnson",Generic Insurance Branch North,Personal,Auto (Personal),Bristol West,J3JX8EAcfp,6 Months,01/17/2021,Generic Insurance,Unknown,,Personal Lines (P/L),02/18/2021,07/17/2021,AUTOP,01/17/2020,02/12/2020,02/18/2021,$297.42,$0.00,No,Active,Policy Change,PCH,BRISTOL W INS CO
74995128,"Allen, Johnson",Generic Insurance Branch North,Personal,Auto (Personal),Safeco Insurance,HWhyMAYuaT,12 Months,06/19/2020,Generic Insurance,Unknown,,Personal Lines (P/L),01/05/2021,06/19/2021,AUTOP,06/19/2020,06/20/2020,01/05/2021,-$961.98,$0.00,No,Active,Policy Change,PCH,SAFECO INS CO OF AMER
75108863,"Smith, Amanda",Generic Insurance Branch North,Personal,Auto (Personal),Safeco Insurance,7EjKFCATKt,12 Months,07/06/2020,Generic Insurance,Unknown,,Personal Lines (P/L),02/11/2021,07/06/2021,AUTOP,07/06/2020,07/07/2020,02/11/2021,-$62.88,$0.00,No,Active,Policy Change,PCH,SAFECO INS CO OF AMER
75108863,"Smith, Amanda",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,XNAygVPRDS,12 Months,03/10/2021,Generic Insurance,Unknown,,Personal Lines (P/L),01/23/2021,03/10/2022,HOME,03/10/2020,03/11/2020,03/10/2021,"$1,184.00",$0.00,No,Active,Renewal,RWL,AMERICAN ECONOMY INS CO
75128279,"Smith, Amanda",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,7yytm62cxE,12 Months,01/31/2021,Generic Insurance,Unknown,,Personal Lines (P/L),12/18/2020,01/31/2022,HOME,01/31/2020,02/04/2020,01/31/2021,"$1,055.00",$0.00,No,Active,Renewal,RWL,AMERICAN ECONOMY INS CO
75128279,"Smith, Amanda",Generic Insurance Branch North,Personal,Auto (Personal),Safeco Insurance,4FkQ2MX4j2,12 Months,05/29/2020,Generic Insurance,Unknown,,Personal Lines (P/L),09/16/2020,05/29/2021,AUTOP,05/29/2020,05/30/2020,09/16/2020,-$11.83,$0.00,No,Active,Policy Change,PCH,SAFECO INS CO OF AMER
75158162,"Smith, Amanda",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,TT8MS5dpNd,12 Months,02/07/2021,Generic Insurance,Unknown,,Personal Lines (P/L),12/25/2020,02/07/2022,HOME,02/07/2020,02/08/2020,02/07/2021,$955.00,$0.00,No,Active,Renewal,RWL,AMERICAN ECONOMY INS CO
75158162,"Smith, Amanda",Generic Insurance Branch North,Personal,Auto (Personal),Safeco Insurance,QM4FS9dGBb,12 Months,02/07/2021,Generic Insurance,Unknown,,Personal Lines (P/L),12/25/2020,02/07/2022,AUTOP,02/07/2020,02/08/2020,02/07/2021,"$1,808.50",$0.00,No,Active,Renewal,RWL,SAFECO INS CO OF AMER
75194364,"Anderson, Bobbie",Generic Insurance Branch North,Personal,Homeowners,Safeco Insurance,dPsPCg3N2Q,12 Months,03/10/2021,Generic Insurance,Unknown,,Personal Lines (P/L),02/26/2021,03/10/2022,HOME,03/10/2020,03/17/2020,03/30/2021,"$1,093.00",$0.00,No,Active,Policy Change,PCH,AMERICAN ECONOMY INS CO
75194364,"Anderson, Bobbie",Generic Insurance Branch North,Personal,Auto (Personal),Travelers,DtsC3JhQbj,12 Months,03/19/2021,Generic Insurance,Unknown,,Personal Lines (P/L),03/31/2021,03/19/2022,AUTOP,03/19/2021,03/24/2021,03/31/2021,"$2,968.00",$0.00,No,Active,Policy Change,PCH,STANDARD FIRE INS CO
