ApplicantID,Assigned_Agent,Branch_Name,Policy_Type,Line_Of_Business,Master_Company,Writing_Company_Name,Policy_Number,Term,Effective_Date,Agency,Billing_Type,Cancellation_Date,Department,Download_Date,Expiration_Date,LOB_Code,LOB_Origination_Date,Policy_Creation_Date,Policy_Last_Modified_Date,Premium_Changed,Premium_Taxes,Service_Team_Override,Status,Transaction_Type,Transaction_Type_Code
83104979,"Johnstone, Olivia",Generic Insurance Branch North,Personal,Dwelling fire,Nationwide Insurance,ALLIED PROP & CAS INS CO,Dg7B5fzK7k,12 Months,10/07/2020,Generic Insurance,Unknown,,Personal Lines (P/L),09/18/2020,10/07/2021,DFIRE,10/07/2019,09/18/2020,10/07/2020,"$1,438.00",$0.00,No,Active,Rewrite,REW
75750669,"Anderson, Bobbie",Generic Insurance Branch North,Personal,Auto (Personal),Nationwide Insurance,AMCO INS CO,BUkCcup47E,12 Months,02/25/2021,Generic Insurance,Unknown,,Personal Lines (P/L),01/16/2021,02/25/2022,AUTOP,02/25/2020,02/26/2020,02/25/2021,$308.08,$0.00,No,Active,Renewal,RWL
76820721,"Smith, Amanda",Generic Insurance Branch North,Personal,Dwelling fire,Nationwide Insurance,AMCO INS CO,PqUjfg3FXR,12 Months,03/31/2021,Generic Insurance,Unknown,,Personal Lines (P/L),02/16/2021,03/31/2022,DFIRE,03/31/2020,06/25/2020,03/31/2021,"$1,269.00",$0.00,No,Active,Renewal,RWL
76820721,"Smith, Amanda",Generic Insurance Branch North,Personal,Dwelling fire,Nationwide Insurance,AMCO INS CO,SQcvXUwtWE,12 Months,03/31/2021,Generic Insurance,Unknown,,Personal Lines (P/L),03/26/2021,03/31/2022,DFIRE,03/31/2020,06/25/2020,03/31/2021,$0.00,$0.00,No,Active,Policy Change,PCH
76937532,"McManus, Malerie",Generic Insurance Branch North,Personal,Auto (Personal),Nationwide Insurance,AMCO INS CO,qDgrrTRhzx,12 Months,03/26/2021,Generic Insurance,Unknown,,Personal Lines (P/L),02/13/2021,03/26/2022,AUTOP,03/26/2020,03/27/2020,03/26/2021,$476.44,$0.00,No,Active,Renewal,RWL
77176969,"Allen, Johnson",Generic Insurance Branch North,Personal,Dwelling fire,Nationwide Insurance,AMCO INS CO,AYu2aebTPX,12 Months,04/19/2021,Generic Insurance,Unknown,,Personal Lines (P/L),03/06/2021,04/19/2022,DFIRE,04/19/2020,03/21/2020,04/19/2021,$936.00,$0.00,No,Active,Renewal,RWL
77176969,"Allen, Johnson",Generic Insurance Branch North,Personal,Dwelling fire,Nationwide Insurance,AMCO INS CO,cFZ47Wf4eS,12 Months,04/19/2021,Generic Insurance,Unknown,,Personal Lines (P/L),03/06/2021,04/19/2022,DFIRE,04/19/2020,03/21/2020,04/19/2021,"$1,100.00",$0.00,No,Active,Renewal,RWL
77213552,"Smith, Amanda",Generic Insurance Branch North,Personal,Dwelling fire,Nationwide Insurance,AMCO INS CO,65YxsssCFN,12 Months,03/31/2021,Generic Insurance,Unknown,,Personal Lines (P/L),02/16/2021,03/31/2022,DFIRE,03/31/2020,04/16/2020,03/31/2021,$987.00,$0.00,No,Active,Renewal,RWL
77251287,"Allen, Johnson",Generic Insurance Branch North,Personal,Auto (Personal),Nationwide Insurance,AMCO INS CO,UHVq2dGMxG,12 Months,04/06/2021,Generic Insurance,Unknown,,Personal Lines (P/L),02/26/2021,04/06/2022,AUTOP,04/06/2020,04/03/2020,04/06/2021,$100.00,$0.00,No,Active,Renewal,RWL
79893717,"McManus, Malerie",Generic Insurance Branch North,Personal,Dwelling fire,Nationwide Insurance,AMCO INS CO,va2mgmsP3t,12 Months,07/10/2020,Generic Insurance,Unknown,,Personal Lines (P/L),03/02/2021,07/10/2021,DFIRE,07/10/2020,07/11/2020,03/02/2021,$0.00,$0.00,No,Active,Policy Change,PCH
